Player,Rating,Average Combat Score,Kills:Deaths,Average Damage Per Round,Headshot %,Clutch Success %,Teams,ACS Percentile,K/D Percentile,ADR Percentile,Headshot Percentile,Average Percentile
Less,1.2,233.3,1.4,153.8,28.1,13.1,KRÜ Esports,97.5,99.3,97.9,50.7,95.1
Leviathan,0.9,175.6,0.9,118.4,37.6,32.5,FULL SENSE,25.4,38.4,31.3,96.8,46.5
LewN,1.0,220.8,1.1,141.8,34.9,26.4,Karmine Corp,90.5,81.3,87.3,90.1,96.1
Life,0.7,173.1,0.7,117.6,38.1,,Dragon Ranger Gaming,21.8,5.3,27.8,97.5,31.0
Loita,1.0,179.7,1.0,121.5,37.5,32.6,BBL Esports,28.5,42.6,38.0,96.5,52.1
LuoK1ng,1.0,166.4,0.9,115.4,30.1,,Trace Esports,14.4,30.3,22.9,68.3,27.5
Lysoar,1.0,194.8,1.1,128.0,24.7,17.8,Xi Lai Gaming,57.0,72.5,55.3,19.4,51.2
MaKo,1.1,201.1,1.1,131.5,29.0,28.1,KIWOOM DRX,64.4,79.6,63.7,59.0,73.6
Mazino,0.9,190.2,1.0,125.5,24.9,28.2,MIBR,48.9,40.1,49.6,21.1,33.1
Meiy,1.1,243.6,1.2,155.2,27.5,36.7,DetonatioN FocusMe,99.3,90.1,98.6,43.7,93.0
Meteor,1.0,206.8,1.1,138.1,32.4,39.0,T1,75.4,72.9,81.3,83.1,87.7
MiniBoo,1.0,224.7,1.1,144.5,32.4,36.2,Team Liquid,92.3,85.6,91.2,83.5,97.2
Minny,1.0,191.9,1.1,128.0,35.6,26.7,Gentle Mates,51.8,81.0,54.9,93.3,79.9
Monyet,0.9,197.1,0.9,129.9,27.3,45.4,Rex Regum Qeon,60.2,29.2,58.8,41.9,45.4
MrFaliN,0.9,173.4,0.9,114.1,36.2,17.7,FUT Esports,22.2,30.6,21.1,94.7,37.3
Munchkin,1.0,183.1,1.0,118.2,20.0,26.9,T1,37.3,61.6,29.9,3.2,26.4
N4RRATE,0.8,183.7,0.8,123.9,27.1,12.4,Karmine Corp,39.1,14.4,43.0,38.7,27.1
NINJA,0.9,175.3,0.9,117.2,30.2,23.3,PCIFIC Esports,25.0,34.2,26.1,69.4,31.7
NagZ,1.0,154.0,0.8,109.5,26.1,32.3,KRÜ Esports,5.6,18.0,12.7,30.6,7.0
Neon,1.2,222.9,1.5,146.1,27.4,34.9,LEVIATÁN,91.5,100.0,94.0,42.6,92.3
Nicc,1.0,185.3,1.0,123.1,30.6,43.5,Dragon Ranger Gaming,40.1,63.0,41.9,72.2,54.6
NoMan,0.8,171.5,0.9,111.7,29.2,30.2,Xi Lai Gaming,19.7,28.2,16.5,62.0,24.3
Notexxd,1.0,196.0,1.0,123.0,23.0,40.0,Cloud9,59.2,49.5,41.5,11.1,33.8
OBONE,1.0,163.7,0.7,126.7,33.7,,Nova Esports,10.9,4.6,52.1,88.4,32.4
OXY,1.0,228.8,1.1,145.8,27.8,22.2,Cloud9,95.4,80.6,93.3,47.5,90.3
Okeanos,0.9,176.9,0.9,116.5,36.2,36.2,Evil Geniuses,27.1,20.8,25.0,94.4,37.0
P0PPIN,0.8,170.4,0.8,110.0,23.5,36.8,ENVY,18.7,11.3,13.7,14.1,5.3
PROFEK,1.0,179.9,1.3,119.0,26.6,35.4,Team Vitality,29.2,98.6,32.4,33.8,48.2
Paincakes,1.0,183.0,0.8,119.8,30.0,16.5,Evil Geniuses,36.6,19.0,33.8,67.3,32.7
PatMen,1.0,220.3,1.2,143.5,32.8,24.5,Global Esports,89.4,87.0,89.8,85.2,96.8
PxS,1.0,164.8,1.0,109.3,23.0,16.5,LEVIATÁN,12.7,41.2,12.0,11.1,8.8
Rarga,0.9,214.6,1.1,136.0,32.7,29.7,Xi Lai Gaming,84.5,66.2,76.8,84.9,87.3
Rb,1.0,169.5,1.1,109.6,23.6,28.5,Nongshim RedForce,17.3,70.1,13.0,14.4,20.4
Reduxx,1.0,207.9,1.0,134.0,30.5,18.3,Sentinels,76.4,59.3,69.4,71.5,78.2
RieNs,1.0,200.1,1.0,133.8,36.2,25.8,Team Heretics,63.0,60.6,69.0,95.1,81.2
Rimuru,0.6,146.0,0.6,101.0,24.1,,Team Secret,1.8,1.1,4.2,15.5,0.7
Rossy,1.0,193.9,1.1,127.7,27.3,20.0,ENVY,54.9,70.4,54.2,40.8,55.3
Rosé,0.8,157.3,0.8,108.6,28.1,21.3,BBL Esports,7.7,9.9,10.6,50.4,9.9
Ruxic,1.1,216.4,1.2,141.0,25.3,10.8,Natus Vincere,85.9,94.0,87.0,24.6,82.7
SSeeS,0.9,163.0,0.8,105.9,25.5,21.2,DetonatioN FocusMe,10.2,17.3,8.1,26.1,6.7
SUYGETSU,1.0,189.4,1.0,127.0,34.9,22.8,Karmine Corp,47.9,61.3,52.8,90.5,67.3
Sato,1.0,210.9,1.1,140.1,31.5,38.5,LEVIATÁN,80.3,74.3,84.5,79.6,90.8
