Player,Rating,Average Combat Score,Kills:Deaths,Average Damage Per Round,Headshot %,Clutch Success %,Teams,ACS Percentile,K/D Percentile,ADR Percentile,Headshot Percentile,Average Percentile
Moonlight,1.2,276.5,1.4,173.3,27.2,13.3,Damaru Gaming,99.1,95.4,98.8,80.1,98.8
Moosa,0.7,210.0,0.8,128.0,22.0,0.0,Ragnarok,69.9,22.4,57.1,42.3,46.9
Moothie,0.9,197.2,0.8,126.1,30.5,6.4,LAG Gaming,55.5,35.1,53.4,91.3,62.3
Mowff,0.9,177.0,0.9,116.0,21.0,4.0,EGO,32.6,39.8,34.9,35.4,29.1
Muj,,204.2,0.8,135.8,28.0,17.6,OtherSide,63.2,32.4,71.2,82.6,66.8
Munchkin,0.9,212.8,1.0,135.4,21.6,13.0,Crazy Raccoon,73.1,60.6,70.4,38.8,64.5
Muramasa,,152.0,0.9,98.5,30.0,10.5,Akave Esports,11.4,39.8,11.5,89.7,32.4
MyName1sSB,1.0,192.7,1.0,134.0,25.7,29.0,RedFire.Wasd Arena,50.5,63.1,68.7,69.7,67.9
Mykoz,,189.0,0.8,120.4,20.3,0.0,Cyber Skull Esports,46.4,28.4,42.0,30.8,30.2
Myssen,0.9,173.6,1.0,115.9,46.2,11.0,Liberty,29.2,57.2,34.6,100.0,56.8
N0WARE,0.5,152.0,0.6,96.7,12.3,0.0,Run and Gun,11.4,5.4,10.0,2.2,2.4
N1CO,0.9,183.2,0.9,118.6,20.3,3.9,6045Pirates,38.9,36.7,39.0,30.6,29.5
NLaaeR,,199.0,0.8,123.8,20.0,0.0,Team Singularity,57.3,34.3,48.9,28.5,37.8
NagZ,1.1,208.0,1.2,129.5,21.4,13.5,KRÜ Esports,67.3,87.2,60.4,38.0,68.3
Naivejester,1.1,268.7,1.2,175.7,27.0,20.7,OnlyFriends,98.5,88.0,99.1,78.9,97.9
NakMaKaCakeBacha,0.4,135.0,0.5,83.7,16.7,0.0,GLADIATORS,4.7,2.2,3.8,10.5,1.6
Nartzie,0.9,156.8,0.8,106.9,22.0,4.2,Team Majesty,14.4,27.0,20.9,42.3,17.1
Nation,1.1,178.0,1.1,124.9,30.3,30.4,PEACE,33.6,81.5,51.3,90.8,70.5
NaturE,1.0,186.9,0.9,123.9,22.2,21.8,Gen.G,43.7,46.6,49.4,44.5,43.7
NcSlasher,0.9,171.4,0.8,104.8,24.7,14.4,BOOM Esports,26.8,32.1,17.7,62.8,28.2
Nefty,,209.4,0.9,128.9,17.7,21.5,Funkboings,68.7,48.3,59.0,15.4,46.6
Nerf,1.1,202.8,1.0,141.6,27.0,4.2,RTG eSports,62.0,64.3,79.4,78.9,79.9
NeruFi,0.9,176.8,0.9,119.5,23.5,10.8,NORTHEPTION,32.4,36.9,40.8,54.1,35.8
Nhatthong2k,1.0,247.3,1.0,159.7,18.7,13.0,FEARUS,94.1,65.2,96.2,20.9,76.5
NiceHacks,1.0,211.5,0.9,137.0,17.0,6.0,Legacy Esports,71.8,51.9,72.7,12.4,53.5
NickPan,0.8,169.5,0.8,111.0,21.2,20.2,Five Ace Esports,24.6,25.1,26.4,36.9,19.7
Niko47A,0.9,187.3,0.9,121.7,28.0,33.0,EGO,44.6,42.0,45.1,82.6,55.1
Nirenu,,202.6,1.1,125.7,20.3,35.4,Zero Zone,61.8,74.2,52.8,30.7,56.4
Nisuh,0.9,245.7,1.0,146.3,24.3,0.0,Psycho Family,93.3,62.1,86.8,60.3,85.5
Nivera,1.2,216.4,1.5,143.6,28.9,24.4,Team Liquid,76.4,98.3,82.9,86.3,95.0
NoZoRo,0.8,164.7,0.8,116.0,21.3,22.0,Mythociast,20.4,21.7,34.9,37.5,20.4
Noobiectal,0.7,117.7,0.5,82.7,12.3,0.0,Trained To Kill,1.7,3.7,3.6,2.2,0.6
Norisen,0.9,183.7,0.9,116.8,20.2,12.1,REJECT,40.1,42.8,36.1,30.2,31.2
Nozz,1.0,185.3,1.0,124.4,20.9,0.0,Wildcard Gaming,41.8,67.4,50.4,34.4,48.0
Nuwanda,0.6,132.0,0.6,96.0,29.0,0.0,Team SOVIET,3.9,9.6,9.0,86.9,18.4
Nyang,1.0,180.4,1.0,117.2,24.9,13.3,Gamelanders Blue,36.2,60.9,36.8,63.6,49.3
Oceanman,0.5,147.0,0.5,100.0,22.7,0.0,Hell on Earth,8.8,2.7,13.1,47.7,8.3
Oderus,0.7,150.3,0.7,104.8,32.5,9.9,Version1,10.6,11.8,17.6,96.0,27.2
OinkFella,0.5,152.3,0.5,104.0,21.3,0.0,Ben10,11.6,2.3,17.0,37.5,7.5
OrangeLeaf,0.8,162.6,0.8,102.8,19.8,6.6,Reckoning Esports,18.4,22.1,15.8,26.9,11.0
